"","PCW6","PCW7","PCW8","PCW9","PCW10","PCW11"
"hOMTN",0.75,0.380952380952381,0.306451612903226,0.0947368421052632,0.0588235294117647,0.3
"hSert",0,0,0,0.0315789473684211,0.176470588235294,0.1
"sample1",0.870170634920635,0.978888888888889,0.98,0.888047619047619,0.89822619047619,0.652988095238095
"sample2",0.913571428571428,0.967333333333333,0.909761904761905,0.972555555555556,0.750416666666667,0.726761904761905
"sample3",0.626150793650794,0.427027777777778,0.982738095238095,0.906698412698413,0.833547619047619,0.986944444444444
"sample4",0.774329365079365,0.949111111111111,0.8825,0.987142857142857,0.896722222222222,0.806940476190476
"sample5",0.745853174603175,0.885861111111111,0.784111111111111,0.888047619047619,0.98,0.866904761904762
"sample6",0.926190476190476,0.982857142857143,0.911257936507937,0.964563492063492,0.855666666666667,0.652988095238095
"sample7",0.947190476190476,0.833095238095238,0.955555555555556,0.79072619047619,0.89822619047619,0.676333333333333
"sample8",0.81825,0.720174603174603,0.947428571428571,0.96422619047619,0.876388888888889,0.536285714285714
"sample9",0.870170634920635,0.885861111111111,0.98,0.987888888888889,0.880277777777778,0.75184126984127
"sample10",0.984,0.427027777777778,0.926333333333333,0.531337301587302,0.9375,0.869944444444445
"sample11",0.963,0.978888888888889,0.779,0.874619047619048,0.848230158730159,0.664686507936508
"sample12",0.785257936507936,1,0.846809523809524,0.990571428571429,0.928666666666667,0.925714285714286
"sample13",0.926190476190476,0.948190476190476,1,0.98925,0.986103174603174,0.310464285714286
"sample14",0.774329365079365,0.973571428571428,0.911257936507937,0.770357142857143,0.982619047619048,0.864011904761905
"sample15",0.913571428571428,0.427027777777778,0.96125,0.764,0.907035714285714,0.654714285714286
"sample16",0.641888888888889,0.751,0.607746031746032,0.9625,0.725634920634921,0.794694444444444
"sample17",0.933055555555556,0.885861111111111,0.880285714285714,0.744535714285714,0.888611111111111,0.806916666666667
"sample18",0.974285714285714,0.978888888888889,0.836666666666667,0.874619047619048,0.928833333333333,0.778345238095238
"sample19",0.596146825396825,0.815392857142857,0.535880952380952,0.84709126984127,0.782738095238095,0.310464285714286
"sample20",0.984,0.956587301587302,0.860261904761905,0.950666666666667,0.841337301587302,0.522361111111111
"sample21",0.81968253968254,1,0.968472222222222,0.997777777777778,0.986805555555556,0.350416666666667
"sample22",0.224634920634921,0.291134920634921,0.890238095238095,0.711103174603175,0.986103174603174,0.536285714285714
"sample23",0.774329365079365,1,0.940444444444445,0.478154761904762,0.903,0.559769841269841
"sample24",0.730369047619048,0.973571428571428,0.96125,0.840198412698413,0.721615079365079,0.490444444444444
"sample25",0.926190476190476,0.861416666666667,0.851571428571429,1,0.98,0.753392857142857
"sample26",0.913571428571428,0.833095238095238,1,0.7915,0.856825396825397,0.802047619047619
"sample27",0.858642857142857,1,0.909761904761905,0.96422619047619,0.548690476190476,0.522361111111111
"sample28",0.651269841269841,0.576357142857143,0.890666666666667,0.898611111111111,0.971333333333333,0.99
"sample29",0.849936507936508,0.99,0.974555555555556,1,0.949,0.794694444444444
"sample30",0.933055555555556,0.915559523809524,0.961571428571429,0.916234126984127,0.656428571428571,0.642738095238095
"sample31",0.948166666666667,0.885861111111111,0.916357142857143,0.915666666666667,0.970928571428571,0.866904761904762
"sample32",0.856972222222222,0.697813492063492,0.914178571428571,0.950666666666667,0.828861111111111,0.637912698412698
"sample33",0.623916666666667,0.99,0.9415,0.711103174603175,0.9375,0.92025
"sample34",0.81968253968254,0.982857142857143,0.682785714285714,0.897388888888889,0.984444444444444,0.549162698412698
"sample35",0.81825,1,0.890238095238095,0.31118253968254,0.521916666666667,0.652988095238095
"sample36",0.793194444444444,0.956587301587302,0.903488095238095,0.770357142857143,0.715912698412698,0.925714285714286
"sample37",0.959007936507937,0.697813492063492,0.850952380952381,0.992857142857143,0.996666666666667,0.718047619047619
"sample38",0.963,0.291134920634921,0.925333333333333,0.955539682539683,0.970928571428571,0.718047619047619
"sample39",0.957277777777778,0.317055555555556,0.846809523809524,0.843642857142857,0.95,0.776936507936508
"sample40",0.879992063492064,0.833095238095238,0.846611111111111,0.930948412698413,0.850329365079365,0.310464285714286
"sample41",0.925571428571428,0.354734126984127,0.861,0.840198412698413,0.935920634920635,0.8885
"sample42",0.836623015873016,0.948190476190476,0.991055555555556,0.718261904761905,0.98,0.776936507936508
"sample43",0.81825,0.917738095238095,0.875674603174603,0.862440476190476,0.98,0.522361111111111
"sample44",0.923166666666667,0.917738095238095,0.903488095238095,0.994,0.971333333333333,0.749583333333333
"sample45",0.926190476190476,0.751079365079365,0.736678571428571,0.968333333333333,0.664333333333334,0.99
"sample46",0.704539682539683,0.973571428571428,1,0.997777777777778,0.951583333333333,0.806916666666667
"sample47",0.836623015873016,0.876714285714286,0.9675,0.781464285714286,0.888611111111111,0.77056746031746
"sample48",0.947190476190476,0.751079365079365,0.973325396825397,0.966388888888889,0.928833333333333,0.652988095238095
"sample49",0.651269841269841,0.995,0.955555555555556,0.950666666666667,0.935,0.345472222222222
"sample50",0.856972222222222,0.949111111111111,0.974555555555556,0.701519841269841,0.745654761904762,0.905309523809524
"sample51",0.849936507936508,0.956587301587302,0.9415,0.666742063492063,0.936333333333333,0.481059523809524
"sample52",0.704539682539683,0.861416666666667,0.986666666666667,0.672535714285714,0.833777777777778,0.90106746031746
